index,user_id,user_screenname,user_des,tweet_id,tweet_date,tweet_text,tweet_len,followers_count,friends_count,favorites_count,sentiment_vader,sentiment_tb,hashtags
1,872486509,petemongeau,"Owner/Coach CrossFit Zanshin, CrossFit Masters Athlete, Muay Thai Fighter & Sponsored Athlete.",1063847632165064704,2018-11-17,"Date with the devil, after a full Row and strongman workout at CrossFit Zanshin interval training on the Assault Ru… ",117,181,377,467,-0.82,0.35,
2,872486509,petemongeau,"Owner/Coach CrossFit Zanshin, CrossFit Masters Athlete, Muay Thai Fighter & Sponsored Athlete.",1063639166754455554,2018-11-17,CrossFit Zanshin gets a mention in this weeks journal.  We pride ourselves on protecting the community. ,104,181,377,467,0.34,0.0,
3,872486509,petemongeau,"Owner/Coach CrossFit Zanshin, CrossFit Masters Athlete, Muay Thai Fighter & Sponsored Athlete.",1063079862171299842,2018-11-15,❤️ it! You are never too old! ,30,181,377,467,0.0,0.12,
4,872486509,petemongeau,"Owner/Coach CrossFit Zanshin, CrossFit Masters Athlete, Muay Thai Fighter & Sponsored Athlete.",1062706987371282432,2018-11-14,Excellent read... precisely why everyone that walks through the doors at CrossFit Zanshin must first complete our b… ,117,181,377,467,0.57,0.44,
5,872486509,petemongeau,"Owner/Coach CrossFit Zanshin, CrossFit Masters Athlete, Muay Thai Fighter & Sponsored Athlete.",1062374988546822144,2018-11-13,Lifting weights as you age is healthy way to extend your golden years.. ,72,181,377,467,0.53,0.4,
6,872486509,petemongeau,"Owner/Coach CrossFit Zanshin, CrossFit Masters Athlete, Muay Thai Fighter & Sponsored Athlete.",1059976508398321665,2018-11-07,This past weekend CrossFit Zanshin members celebrated in style.  The energy was electric and the Tacos were delicio… ,117,181,377,467,0.7,0.05,
7,872486509,petemongeau,"Owner/Coach CrossFit Zanshin, CrossFit Masters Athlete, Muay Thai Fighter & Sponsored Athlete.",1058761480152252416,2018-11-03,I posted a new video to Facebook ,33,181,377,467,0.0,0.14,
8,312254338,LisaGfit,Follow for daily transformational weight loss and fitness tips!,1063847636011286529,2018-11-17,"When I first began my fitness journey, I realized how difficult it can be to start &amp; continue a fitness regimen.… ",118,1843,3282,2580,0.18,-0.12,
9,312254338,LisaGfit,Follow for daily transformational weight loss and fitness tips!,1063825037168386048,2018-11-17,"Choosing healthy meals every day can be challenging if you do not have a plan!

",80,1843,3282,2580,0.56,0.56,
10,312254338,LisaGfit,Follow for daily transformational weight loss and fitness tips!,1061468582016622592,2018-11-11,"Too busy to workout? Or just too much excuses? This is for you!

",65,1843,3282,2580,0.0,0.17,
11,312254338,LisaGfit,Follow for daily transformational weight loss and fitness tips!,1061378034069053440,2018-11-10,"It's not just what you eat, but it's when you eat it, and when you rest that impacts your metabolism and determines… ",117,1843,3282,2580,0.0,0.0,
12,312254338,LisaGfit,Follow for daily transformational weight loss and fitness tips!,1059515152054321162,2018-11-05,"When you feel amazing, you show up better for everything, and that you’ll smash the rest of the to-do list with con… ",117,1843,3282,2580,0.77,0.55,
13,312254338,LisaGfit,Follow for daily transformational weight loss and fitness tips!,1056099021696258048,2018-10-27,It's all about the right mindset! 🙌🏻 ,37,1843,3282,2580,0.0,0.36,
14,312254338,LisaGfit,Follow for daily transformational weight loss and fitness tips!,1048921105593974786,2018-10-07,"A friendly reminder to all! ☝🏻
 ",32,1843,3282,2580,0.54,0.47,
15,312254338,LisaGfit,Follow for daily transformational weight loss and fitness tips!,1048558740776124416,2018-10-06,"Happy Weekend fit fam! 💖

Incorporate planned indulgences into your otherwise healthy diet, instead of depriving yo… ",117,1843,3282,2580,0.73,0.6,
16,312254338,LisaGfit,Follow for daily transformational weight loss and fitness tips!,1048045144887443456,2018-10-05,"Do you prefer to do your workouts in the afternoon or at night?

Watch my video on the pros and cons of late aftern… ",117,1843,3282,2580,0.0,-0.3,
17,312254338,LisaGfit,Follow for daily transformational weight loss and fitness tips!,1048004856299081729,2018-10-05,"Who else loves Keto Diet? 🙋🏻
#KetoDietFever is real! &gt;&gt;

",63,1843,3282,2580,0.61,0.25,"KetoDietFever, "
18,310778140,carl_marsh,"Gay, fun loving person into fashion, Vivienne Westwood, running and food.",1063847645242933250,2018-11-17,Me and muscle Jesus having a rose wine after decorating all day listening to @Cher ,83,423,1139,13019,0.0,0.6,
19,310778140,carl_marsh,"Gay, fun loving person into fashion, Vivienne Westwood, running and food.",1063847041200267264,2018-11-17,#cher @cher 🌈🌈🌈🌈 ,17,423,1139,13019,0.0,0.0,"cher, "
20,310778140,carl_marsh,"Gay, fun loving person into fashion, Vivienne Westwood, running and food.",1063838906708316165,2018-11-17,Love my fiancé he’s so shy when dancing in the kitchen. He’s my private dancer #tinaturner @thegourmetgays 🌈🌈🌈🌈 ,112,423,1139,13019,0.38,0.0,"tinaturner, "
21,108763262,mike8675309,ⓋA man on a mission to conquer T-SQL and large enough Data. Making Vegan gains.,1062506805442633731,2018-11-14,"#backday at the gym.  Rough day but the workout went well.  Gym was too busy, stresses me out.  But I got it done!… ",116,110,92,166,-0.39,0.0,"backday, "
22,108763262,mike8675309,ⓋA man on a mission to conquer T-SQL and large enough Data. Making Vegan gains.,1062193114947993601,2018-11-13,#postworkout tonight so hungry I only storied it but here to share.  Mangos and strawberries with bananas and vivol… ,117,110,92,166,0.42,0.0,"postworkout, "
23,108763262,mike8675309,ⓋA man on a mission to conquer T-SQL and large enough Data. Making Vegan gains.,1061660167140454406,2018-11-11,#weakpoints today and a quick workout at that.  Just adding more volume to areas I have already hit multiple times… ,116,110,92,166,0.0,0.28,"weakpoints, "
24,108763262,mike8675309,ⓋA man on a mission to conquer T-SQL and large enough Data. Making Vegan gains.,1061342043342073856,2018-11-10,#pushpull day and hitting a tough cadence for the weights with increasing pauses.  Only 8 days left in the… ,108,110,92,166,-0.13,-0.13,"pushpull, "
25,108763262,mike8675309,ⓋA man on a mission to conquer T-SQL and large enough Data. Making Vegan gains.,1060701385124134912,2018-11-09,#legday and a brutal one at that.  We are in the peak weeks and our coaches are no joke.  3 second eccentrics on th… ,117,110,92,166,-0.62,-0.44,"legday, "
